Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	9	2.3017902813
02	Vorstädte	5	1.0893246187
03	Am Ring	2	0.1765225066
04	Breite	6	0.9287925697
05	St. Alban	5	0.4428697963
06	Gundeldingen	4	0.2855103498
07	Bruderholz	10	0.4784688995
08	Bachletten	14	0.5631536605
09	Gotthelf	1	0.1028806584
10	Iselin	4	0.2775850104
11	St. Johann	1	0.0665778961
12	Altstadt Kleinbasel	3	1.1904761905
13	Clara	3	1.3157894737
14	Wettstein	5	0.7320644217
15	Hirzbrunnen	61	3.8534428301
16	Rosental	0	
17	Matthäus	2	0.176366843
18	Klybeck	2	0.4683840749
19	Kleinhüningen	1	0.6289308176
20	Riehen	51	1.2142857143
30	Bettingen	3	0.9493670886
