Jahr	Innenstadt	Am Ring West	St. Alban Breite	St. Johann	Gundeldingen	Bruderholz	Unteres Kleinbasel	Oberes Kleinbasel	Riehen/ Bettingen	Basel-Stadt
2003	70.422535211267	86.410256410256	87.586206896551	77.477477477477	70.289855072463	90.588235294117	65.340909090909	87.681159420289	97.835497835497	83.232323232323
2005	64.130434782608	89.090909090909	86.577181208053	85.217391304347	67.479674796747	92.307692307692	60.67415730337	84.955752212389	94.444444444444	82.454969979986
2007	78.75	91.111111111111	87.421383647798	79.090909090909	73.4375	93.103448275862	58.947368421052	85.294117647058	95.121951219512	83.733333333333
2011	80.597014925373	92.626728110599	94.152046783625	88.118811881188	76.470588235294	96.808510638297	72.527472527472	88.288288288288	98.268398268398	89.072847682119
2015	92.647058823529	95.121951219512	94.444444444444	95	77.235772357723	92.660550458715	77.181208053691	92.1875	98.245614035087	91.716766867067
2003_n	71	390	145	111	138	85	176	138	231	1485
2005_n	92	440	149	115	123	91	178	113	198	1499
2007_n	80	405	159	110	128	87	190	136	205	1500
2011_n	67	434	171	101	119	94	182	111	231	1510
2015_n	68	410	162	120	123	109	149	128	228	1497
